"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"e",1.0,0.0,114.80854,0.9151,77.38863,0.90453,0.42642,257.6642,7.15924,7.773,3.78682,1.72889,687.0
"e",0.89443,-0.44721,97.8366,0.71306,74.43118,0.99421,-0.10748,215.60949,7.53223,11.20633,5.01065,1.0,829.0
"e",1.0,0.0,84.81156,0.91079,54.40588,0.80874,0.58817,196.94473,6.60494,6.98478,3.19557,0.82222,578.0
"e",0.70711,0.70711,164.05487,0.77678,131.03435,0.8929,-0.45026,391.16556,7.18801,8.03839,2.66788,5.63556,719.0
"e",0.83205,0.5547,91.04944,0.89434,65.73431,0.8367,0.54766,231.21885,7.06858,8.86721,3.55148,0.98222,625.0
"e",1.0,0.0,111.5213,0.88065,58.25805,0.77243,0.63511,253.53031,6.28319,7.6115,2.76132,2.77778,579.0
"e",0.70711,0.70711,108.72442,0.97514,78.89233,0.50702,0.86193,226.74204,6.28319,8.0088,3.59388,1.72444,609.0
"e",1.0,0.0,89.40358,0.93624,71.44928,0.6858,0.72779,171.9362,6.74683,8.2233,3.79161,0.75111,625.0
"e",0.44721,0.89443,87.23531,1.13278,80.06248,0.46214,0.88681,166.33596,7.06858,13.39463,9.91462,1.39111,688.0
"e",0.70711,-0.70711,126.26955,1.05754,81.34494,0.68843,0.72531,271.89987,6.28319,7.96672,3.50223,1.47266,844.0
"e",1.0,0.0,63.41136,0.90837,34.4093,0.81373,0.58124,157.10239,6.28319,6.60594,2.51112,0.46222,704.0
"f",0.0,-1.0,215.59453,1.08848,49.81967,0.18065,0.98355,480.89739,-1.32582,10.97156,3.82578,2.03111,969.0
"f",-0.89443,-0.44721,198.40363,1.31604,113.0177,-0.0177,0.99984,330.03749,-2.35619,10.56824,5.94223,10.22266,579.0
"f",-0.81373,-0.58124,174.83707,0.94789,78.23682,-0.57518,0.81803,313.71999,-2.52134,7.74547,3.41719,4.97656,719.0
"f",-0.99504,-0.0995,186.01075,1.27625,112.36103,0.0801,0.99679,317.39089,-3.14159,8.13923,3.838,7.58222,594.0
"f",-0.44721,-0.89443,163.47783,1.16189,84.40379,-0.23696,0.97152,277.03688,-1.5708,10.20712,6.13949,3.75391,656.0
"f",0.0,-1.0,174.55372,1.18923,61.13101,0.06543,0.99786,342.8004,-1.5708,12.28357,5.39445,2.94531,891.0
"f",-0.70711,-0.70711,219.04566,1.04995,93.771,-0.12797,0.99178,445.89592,-2.81984,10.0634,4.07583,3.07813,813.0
"f",-0.31623,-0.94868,54.626,1.15629,17.08801,-0.35112,0.93633,105.00004,0.0,8.73937,5.27972,0.44889,671.0
"f",0.0,-1.0,169.49926,1.09923,31.38471,-0.38235,0.92402,348.38934,-1.10715,9.53618,4.33949,3.24,750.0
"f",0.0,-1.0,185.52628,1.37551,2.82843,0.70711,-0.70711,401.32489,7.85398,11.26879,5.62915,3.31111,969.0
"f",0.94868,-0.31623,340.33219,1.26949,18.78829,0.90482,0.4258,712.52627,6.28319,8.78258,3.5229,13.33778,828.0
"f",-0.5547,-0.83205,190.51772,1.11419,66.06815,-0.04541,0.99897,396.49178,-1.5708,11.01409,5.59672,3.13778,687.0
"f",0.8,-0.6,202.0,1.37146,9.48683,0.31623,-0.94868,441.2654,7.06858,8.6052,4.79807,4.88,968.0
"f",-0.5547,-0.83205,140.80128,0.93156,31.62278,0.31623,0.94868,298.74824,-1.5708,10.86532,6.16706,2.08,750.0
"f",-0.44721,-0.89443,169.02663,0.94504,56.72742,-0.65224,0.75801,327.54195,-2.35619,11.34647,5.37306,2.77778,719.0
"f",0.0,-1.0,158.80806,1.02822,47.67599,0.1678,0.98582,342.16167,-3.14159,7.8524,3.78374,4.78516,766.0
"f",0.0,-1.0,185.80904,1.05899,85.47514,-0.10529,0.99444,363.94455,-1.5708,10.25572,3.93565,2.88281,797.0
"f",0.70711,-0.70711,164.2011,1.13711,65.06919,-0.0461,0.99894,333.23546,-1.81577,10.99917,4.98243,2.08203,812.0
"f",-0.6,-0.8,134.03358,0.94968,57.00877,-0.26312,0.96476,254.20486,-2.35619,9.85153,4.47782,2.67111,890.0
"f",0.0,-1.0,157.84803,1.18088,34.9285,0.22904,0.97342,323.47495,-2.03444,9.20683,4.77174,9.46222,688.0
"g",-0.89443,-0.44721,170.39366,1.11502,89.1852,0.50457,0.86337,406.40769,-0.0,11.91541,5.1644,2.64063,1000.0
"g",0.0,1.0,156.16978,1.19029,47.88528,0.48031,0.8771,401.31462,-3.14159,14.51275,8.80403,8.51563,891.0
"g",-0.98837,-0.15206,203.92401,1.17299,72.20111,0.51246,0.85871,552.76529,0.1419,12.18774,5.70687,7.97656,922.0
"g",-0.86824,-0.49614,125.39936,1.00713,32.89377,-0.33441,0.94243,332.10803,0.7854,12.88201,6.27918,1.56889,860.0
"g",-0.24254,-0.97014,202.38577,1.24905,61.03278,0.31131,0.95031,490.78047,1.10715,11.48863,5.11715,5.13778,1000.0
"g",-0.83205,-0.5547,200.9602,1.2097,43.04649,0.51108,0.85954,529.8779,0.7854,11.41199,4.94329,8.45703,906.0
"g",-1.0,0.0,145.23085,1.17495,40.22437,0.57179,0.8204,402.1116,0.32175,10.22027,4.7362,5.55556,890.0
"g",-0.58124,-0.81373,109.16501,1.13583,30.08322,0.36565,0.93075,279.96922,1.71269,12.78986,6.8097,1.0,953.0
"g",-0.70711,0.70711,158.37298,0.97404,62.26556,0.49787,0.86725,373.10644,1.5708,14.75933,7.29756,1.44531,1219.0
"g",0.44721,-0.89443,208.85641,0.99342,25.4951,0.98058,0.19612,602.03237,3.01724,13.56897,4.80462,7.39556,1172.0
"g",-0.70711,-0.70711,208.01923,0.99079,61.7171,0.45368,-0.89116,573.59976,4.39064,22.50216,12.19794,2.26222,1625.0
"g",-0.70711,-0.70711,172.4094,1.22153,69.42622,0.20165,0.97946,407.75694,0.7854,12.85545,6.78527,4.51563,1203.0
"g",0.0,-1.0,213.08449,0.95546,40.4475,0.98894,-0.14834,667.32472,3.14159,13.90588,5.45175,4.65625,1562.0
"g",-0.5145,-0.85749,177.79201,1.22058,65.0,0.24615,0.96923,404.80483,2.35619,13.81316,8.52893,4.71556,968.0
"g",-0.19612,-0.98058,212.53235,1.13872,50.60632,0.79042,0.61257,589.89721,1.5708,12.1353,5.40461,10.60444,890.0
"g",0.0,-1.0,167.21543,1.03756,69.83552,0.48686,0.87348,404.96966,2.35619,13.55698,6.50134,2.34766,1063.0
"g",0.70711,-0.70711,127.78106,1.26885,68.41053,0.26312,0.96476,273.99175,1.5708,14.23525,9.56029,6.62891,922.0
"g",-0.94868,-0.31623,143.75674,1.05424,41.59327,0.88957,0.4568,398.11516,1.5708,12.27712,6.79283,8.97266,891.0
"g",-0.70711,-0.70711,151.63773,1.12779,65.30697,0.42874,0.90343,368.11982,1.24905,13.10347,6.87673,3.34766,812.0
"g",-0.83205,-0.5547,159.39887,1.26492,60.16644,0.26593,0.96399,353.77887,0.7854,12.94952,7.71815,4.34222,875.0
"h",0.0,1.0,145.39945,1.19029,139.84634,0.38614,0.92244,301.26237,-3.14159,3.82571,1.24367,4.55111,547.0
"h",0.0,1.0,138.5785,1.21709,138.5785,0.34637,0.9381,228.26953,-2.89661,5.92732,3.22475,1.89063,594.0
"h",0.0,1.0,125.25175,1.22885,121.11565,0.31375,0.94951,237.31633,-3.14159,4.17787,1.79646,2.06641,641.0
"h",0.0,1.0,77.07788,1.17102,77.07788,0.38922,0.92115,130.26967,-3.14159,6.32573,4.03707,1.44,687.0
"h",0.70711,-0.70711,107.04205,1.05281,90.21086,0.58751,0.80922,183.55073,-2.76109,5.09657,2.09662,1.26953,625.0
"h",0.17889,0.98387,153.07514,1.26557,152.77762,0.29455,0.95564,275.88077,-3.38657,3.81729,1.35065,6.77778,563.0
"h",0.0,1.0,131.10301,1.19596,129.80755,0.36207,0.93215,232.53948,-2.92292,5.15508,3.61317,1.77778,625.0
"h",0.0,1.0,121.63059,1.19182,121.63059,0.36997,0.92904,249.37704,-3.05845,3.77414,1.35038,2.77778,563.0
"h",-0.13757,0.99049,112.53888,1.17874,93.2309,0.38614,0.92244,208.5197,-2.79659,3.48886,1.30809,2.04889,468.0
"h",0.93335,-0.35898,275.85503,1.05525,109.56733,0.89443,0.44721,729.03937,3.58085,14.33645,6.46518,4.02222,1235.0
"h",1.0,0.0,168.2409,1.02732,69.77105,0.88862,0.45864,452.89362,0.0,14.87304,7.36184,1.35156,1141.0
"h",0.24254,0.97014,113.63538,1.1347,113.63538,0.4224,0.90641,199.45741,-2.9442,6.4944,3.62378,2.86328,531.0
"h",0.91381,-0.40614,173.51081,0.67924,145.39945,0.92848,-0.37139,476.83026,2.48649,19.2372,10.55019,2.45703,1625.0
"h",0.0,1.0,147.62791,1.18903,145.7738,0.3773,0.92609,279.78716,-2.9442,3.3616,1.23368,2.64063,563.0
"h",0.0,1.0,121.46193,1.17347,116.86745,0.40217,0.91557,246.8387,-1.10715,4.0539,1.88369,2.56444,609.0
"h",0.0,1.0,94.81034,1.11187,93.0215,0.45151,0.89227,212.63842,-3.14159,3.48519,1.39309,2.08,625.0
"h",0.0,1.0,125.57468,1.27171,125.57468,0.29465,0.95561,235.67632,-3.14159,3.14159,2.24263,2.25,563.0
"h",0.0,1.0,99.72462,1.20146,98.35141,0.32536,0.94559,186.59736,-3.14159,4.37419,2.15651,2.07031,656.0
"h",0.0,1.0,109.29318,1.00056,100.20978,0.58876,0.8083,242.45335,-3.14159,5.70853,2.89252,2.88889,625.0
"h",0.0,1.0,161.61683,1.35884,157.87653,0.19002,0.98178,297.83868,-3.14159,3.5894,2.30555,4.0,578.0
"i",0.0,1.0,75.32596,1.47773,75.32596,-0.09293,0.99567,75.85087,-0.32175,1.23496,0.32797,1.30078,172.0
"i",0.0,1.0,69.0,1.57075,69.0,0.0,1.0,69.0,0.0,0.0,0.0,1.13778,234.0
"i",0.0,1.0,75.16648,1.50423,75.16648,-0.06652,0.99779,75.47095,-0.0,0.43734,0.0709,1.13778,187.0
